AA;MM;DD;HH;NM;MM;MA;Procedencia
2024;1;17;22;404;28.2;375.8;1
2024;1;17;23;347.7;26;321.7;1
2024;1;18;0;282.8;26.7;256.1;1
2024;1;18;1;227.2;28.9;198.3;1
2024;1;18;2;194.7;28.2;166.5;1
2024;1;18;3;195;26.2;168.8;1
2024;1;18;4;229.1;26.6;202.5;1
2024;1;18;5;285.9;27.8;258.1;1
2024;1;18;6;350.8;28.3;322.5;1
2024;1;18;7;408.5;28;380.5;1
2024;1;18;8;447.4;28.5;418.9;1
2024;1;18;9;460.5;30.5;430;1
2024;1;18;10;441.1;29.6;411.5;1
2024;1;18;11;393.4;27.7;365.7;1
2024;1;18;12;328.2;26.9;301.3;1
2024;1;18;13;260.9;25.5;235.4;1
2024;1;18;14;209.4;22;187.4;1
2024;1;18;15;188.6;18.7;169.9;1
2024;1;18;16;203.9;19.9;184;1
2024;1;18;17;244.3;21.7;222.6;1
2024;1;18;18;295.7;21;274.7;1
2024;1;18;19;346.8;19.3;327.5;1
2024;1;18;20;387.7;18.4;369.3;1
2024;1;18;21;408.3;16.8;391.5;1
2024;1;18;22;404.6;14.3;390.3;1
2024;1;18;23;378.4;13;365.4;1
2024;1;19;0;332.7;12.6;320.1;1
2024;1;19;1;277.6;13.2;264.4;1
2024;1;19;2;227.8;13.3;214.5;1
2024;1;19;3;198.8;13.2;185.6;1
2024;1;19;4;198.7;13.5;185.2;1
2024;1;19;5;223.9;12.6;211.3;1
2024;1;19;6;268.2;12.1;256.1;1
2024;1;19;7;320.8;11.8;309;1
2024;1;19;8;368.7;10.6;358.1;1
2024;1;19;9;402.3;9.8;392.5;1
2024;1;19;10;412.6;7.8;404.8;1
2024;1;19;11;397.7;5.5;392.2;1
2024;1;19;12;360.9;4.8;356.1;1
2024;1;19;13;308;4.8;303.2;1
2024;1;19;14;251.6;4;247.6;1
2024;1;19;15;208.2;2.6;205.6;1
2024;1;19;16;190.7;2.3;188.4;1
2024;1;19;17;199.5;1.7;197.8;1
2024;1;19;18;228.6;0.3;228.3;1
2024;1;19;19;271.2;-0.1;271.3;1
2024;1;19;20;315.6;-1.3;316.9;1
2024;1;19;21;350.9;-4.6;355.5;1
2024;1;19;22;371;-7.9;378.9;1
2024;1;19;23;373.2;-9.2;382.4;1
2024;1;20;0;354.7;-9.9;364.6;1
2024;1;20;1;315.6;-11.6;327.2;1
2024;1;20;2;265.9;-12.3;278.2;1
2024;1;20;3;219.9;-11.3;231.2;1
2024;1;20;4;190.9;-9.7;200.6;1
2024;1;20;5;185.3;-8.8;194.1;1
2024;1;20;6;202.6;-8.7;211.3;1
2024;1;20;7;238.3;-8;246.3;1
2024;1;20;8;283.7;-7.6;291.3;1
2024;1;20;9;329;-7.3;336.3;1
2024;1;20;10;363.1;-8.1;371.2;1
2024;1;20;11;379.2;-8.8;388;1
2024;1;20;12;374.4;-8.3;382.7;1
2024;1;20;13;347.3;-7.9;355.2;1
2024;1;20;14;303;-7.2;310.2;1
2024;1;20;15;254.1;-5.4;259.5;1
2024;1;20;16;212.8;-5.5;218.3;1
2024;1;20;17;192.1;-5.8;197.9;1
2024;1;20;18;196.1;-5.4;201.5;1
2024;1;20;19;219.9;-5.6;225.5;1
2024;1;20;20;258.1;-5.4;263.5;1
2024;1;20;21;301.4;-6.1;307.5;1
2024;1;20;22;340.5;-7.3;347.8;1
2024;1;20;23;367.2;-8.4;375.6;1
2024;1;21;0;375.3;-9.5;384.8;1
2024;1;21;1;362.7;-9.9;372.6;1
2024;1;21;2;329;-10.6;339.6;1
2024;1;21;3;281.9;-10;291.9;1
2024;1;21;4;233.3;-9.4;242.7;1
2024;1;21;5;196.1;-10.7;206.8;1
2024;1;21;6;182.3;-10.7;193;1
2024;1;21;7;192;-10.8;202.8;1
2024;1;21;8;222.6;-9.6;232.2;1
2024;1;21;9;267.1;-7.7;274.8;1
2024;1;21;10;313.5;-7.7;321.2;1
2024;1;21;11;351.7;-8.5;360.2;1
2024;1;21;12;374;-8.7;382.7;1
2024;1;21;13;374.9;-8.5;383.4;1
2024;1;21;14;352.7;-7.8;360.5;1
2024;1;21;15;311.4;-6.3;317.7;1
2024;1;21;16;261.7;-4.5;266.2;1
2024;1;21;17;217.8;-3.9;221.7;1
2024;1;21;18;191.9;-4.8;196.7;1
2024;1;21;19;189.5;-6.5;196;1
2024;1;21;20;212.1;-5.8;217.9;1
2024;1;21;21;252.9;-3.9;256.8;1
2024;1;21;22;301.3;-3.1;304.4;1
2024;1;21;23;346.4;-3.6;350;1
2024;1;22;0;378.4;-4.6;383;1
2024;1;22;1;391.3;-5;396.3;1
2024;1;22;2;381.8;-4.1;385.9;1
2024;1;22;3;348.3;-3.3;351.6;1
2024;1;22;4;297.3;-2.5;299.8;1
2024;1;22;5;242.6;-1.8;244.4;1
2024;1;22;6;200;-1.8;201.8;1
2024;1;22;7;180.3;-2.3;182.6;1
2024;1;22;8;187.1;-2.2;189.3;1
2024;1;22;9;218.7;-0.4;219.1;1
2024;1;22;10;265.9;0.6;265.3;1
2024;1;22;11;315.5;-1.7;317.2;1
2024;1;22;12;357.4;-4.6;362;1
2024;1;22;13;383.3;-5.6;388.9;1
2024;1;22;14;385.9;-5.4;391.3;1
2024;1;22;15;362.7;-4.4;367.1;1
2024;1;22;16;318.8;-1.7;320.5;1
2024;1;22;17;264.1;0.3;263.8;1
2024;1;22;18;213;-1.3;214.3;1
2024;1;22;19;182.7;-3.5;186.2;1
2024;1;22;20;180.6;-5.1;185.7;1
2024;1;22;21;205.6;-5.7;211.3;1
2024;1;22;22;252.3;-4.2;256.5;1
2024;1;22;23;308.7;-2.8;311.5;1
2024;1;23;0;361.3;-2.1;363.4;1
2024;1;23;1;398.5;-1.4;399.9;1
2024;1;23;2;411.9;-1.1;413;1
2024;1;23;3;397;-1.8;398.8;1
2024;1;23;4;356.4;-1.2;357.6;1
2024;1;23;5;298.1;0.7;297.4;1
2024;1;23;6;235.2;0.8;234.4;1
2024;1;23;7;186;-0.9;186.9;1
2024;1;23;8;164.1;-2.6;166.7;1
2024;1;23;9;174.2;-2.4;176.6;1
2024;1;23;10;210.2;-2.6;212.8;1
2024;1;23;11;263.8;-3.3;267.1;1
2024;1;23;12;323;-3.4;326.4;1
2024;1;23;13;371.9;-3.6;375.5;1
2024;1;23;14;398.6;-3.8;402.4;1
2024;1;23;15;396.1;-4.5;400.6;1
